company,totalyearlycompensation,yearsofexperience,Masters_Degree,Bachelors_Degree,Doctorate_Degree,state,city
Medium,210000,6.0,1,0,0,CA,Cupertino
Large,215000,12.0,0,0,0,WA,Seattle
Medium,235000,5.0,1,0,0,CA,San Francisco
Large,123000,2.0,0,0,0,WA,Seattle
Medium,140000,3.0,0,0,0,GA,Atlanta
Large,215000,2.0,1,0,0,WA,Seattle
Small,220000,12.0,0,0,1,MA,Boston
Large,270000,4.0,0,0,0,NY,New York
Medium,149000,2.0,1,0,0,CA,San Francisco
Small,100000,0.0,0,0,0,IL,Chicago
Small,158000,2.0,1,0,0,CA,San Francisco
Small,156000,4.0,1,0,0,MA,Boston
Medium,365000,10.0,0,0,0,NY,New York
Large,215000,7.0,1,0,0,WA,Seattle
Small,221000,5.0,1,0,0,NY,New York
Small,318000,5.0,0,0,0,CA,San Francisco
Small,136000,0.0,1,0,0,TX,Round Rock
Large,187000,2.0,0,0,1,WA,Seattle
Medium,464000,20.0,1,0,1,CA,Palo Alto
Small,350000,8.0,0,0,0,CA,San Francisco
Large,194000,2.0,1,0,0,WA,Redmond
Medium,210000,7.0,0,0,0,WA,Seattle
